cao_number;id;ingangsdatum;expiratiedatum;datum_kennisgeving;pdf_name;page_name;main_link_url
633;633001;01/06/2021;30/09/2021;31/05/2021;ABU CAO voor Uitzendkrachten 2021 integraal.pdf;633 - UITZENDKRACHTEN - 01-06-2021 - 30-09-2021 - Regulier - kvo datum - 31-05-2021;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22785&mSelod=704645
633;633002;01/10/2021;30/09/2022;14/07/2022;ABU-LBV CAO voor Uitzendkrachten 2021 integraal 7-22.pdf;633 - UITZENDKRACHTEN - 01-10-2021 - 30-09-2022 - Regulier - kvo datum - 14-07-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=30561&mSelod=704645
633;633003;02/01/2023;31/12/2023;16/03/2023;ABU CAO voor Uitzendkrachten 2023 integraal 9-03-23.pdf;633 - UITZENDKRACHTEN - 02-01-2023 - 31-12-2023 - Regulier - kvo datum - 16-03-2023;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=36462&mSelod=704645
633;633004;05/11/2012;04/11/2017;01/07/2013;CAO_voor_Uitzendkrachten_juli_2013_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 01-07-2013 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8486&mSelod=704645
633;633005;05/11/2012;04/11/2017;04/01/2013;CAO_voor_Uitzendkrachten_dec__2012_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 04-01-2013 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8484&mSelod=704645
633;633006;05/11/2012;04/11/2017;05/11/2012;CAO_voor_Uitzendkrachten_5_11_2012_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 05-11-2012;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8482&mSelod=704645
633;633007;05/11/2012;04/11/2017;15/10/2015;CAO_voor_uzk_14_10_2015_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 15-10-2015 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8491&mSelod=704645
633;633008;05/11/2012;04/11/2017;17/09/2015;CAO_voor_uzk_16_9_2015_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 17-09-2015;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8490&mSelod=704645
633;633009;05/11/2012;04/11/2017;18/06/2015;CAO_voor_uzk_29_6_2015_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 18-06-2015 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8489&mSelod=704645
633;633010;05/11/2012;04/11/2017;21/03/2013;CAO_voor_Uitzendkrachten_maart_2013_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 21-03-2013 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8485&mSelod=704645
633;633011;05/11/2012;04/11/2017;21/12/2016;Cao_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 21-12-2016 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8492&mSelod=704645
633;633012;05/11/2012;04/11/2017;23/12/2014;CAO_voor_uzk_29_12_14_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 23-12-2014 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8488&mSelod=704645
633;633013;05/11/2012;04/11/2017;26/06/2017;Cao_integraal_1_7_2017.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 26-06-2017 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8493&mSelod=704645
633;633014;05/11/2012;04/11/2017;27/11/2012;Uitzendkrachten_tekst.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 27-11-2012 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8483&mSelod=704645
633;633015;05/11/2012;04/11/2017;30/01/2014;CAO_voor_Uitzendkrachten_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2012 - 04-11-2017 - Regulier - kvo datum - 30-01-2014 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8487&mSelod=704645
633;633016;05/11/2017;30/12/2019;01/11/2017;Cao_integraal_5_11_2017.pdf;633 - UITZENDKRACHTEN - 05-11-2017 - 30-12-2019 - Regulier - kvo datum - 01-11-2017;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8494&mSelod=704645
633;633017;05/11/2017;31/05/2019;07/11/2017;Cao_integraal_5_11_2017_1.pdf;633 - UITZENDKRACHTEN - 05-11-2017 - 31-05-2019 - Regulier - kvo datum - 07-11-2017;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8495&mSelod=704645
633;633018;05/11/2017;31/05/2019;14/06/2018;Cao_integraal_1_7_2018.pdf;633 - UITZENDKRACHTEN - 05-11-2017 - 31-05-2019 - Regulier - kvo datum - 14-06-2018 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8496&mSelod=704645
633;633019;05/11/2017;31/05/2019;30/07/2019;Cao 1-7-2019 integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2017 - 31-05-2019 - Regulier - kvo datum - 30-07-2019 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=14693&mSelod=704645
633;633020;05/11/2017;31/05/2019;31/01/2019;Cao_integraal_1_1_2019_integraal.pdf;633 - UITZENDKRACHTEN - 05-11-2017 - 31-05-2019 - Regulier - kvo datum - 31-01-2019 - TTW;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8497&mSelod=704645
633;633021;17/11/2021;01/01/2023;04/11/2022;ABU CAO voor Uitzendkrachten 2021 - 2023 versie januari 2023 met integraal.pdf;633 - UITZENDKRACHTEN - 17-11-2021 - 01-01-2023 - Regulier - kvo datum - 04-11-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=31670&mSelod=704645
633;633022;17/11/2021;01/01/2023;29/06/2022;ABU CAO voor Uitzendkrachten 2021 - 2023 versie juli 2022 integraal.pdf;633 - UITZENDKRACHTEN - 17-11-2021 - 01-01-2023 - Regulier - kvo datum - 29-06-2022;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=30402&mSelod=704645
