cao_number;main_link_url;pdf_found;pdf_name;pdfs_found_count;id;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=22785&mSelod=704645;TRUE;ABU CAO voor Uitzendkrachten 2021 integraal.pdf;1;633001;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=30561&mSelod=704645;TRUE;ABU-LBV CAO voor Uitzendkrachten 2021 integraal 7-22.pdf;1;633002;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=36462&mSelod=704645;TRUE;ABU CAO voor Uitzendkrachten 2023 integraal 9-03-23.pdf;1;633003;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8486&mSelod=704645;TRUE;CAO_voor_Uitzendkrachten_juli_2013_integraal.pdf;1;633004;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8484&mSelod=704645;TRUE;CAO_voor_Uitzendkrachten_dec__2012_integraal.pdf;1;633005;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8482&mSelod=704645;TRUE;CAO_voor_Uitzendkrachten_5_11_2012_integraal.pdf;1;633006;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8491&mSelod=704645;TRUE;CAO_voor_uzk_14_10_2015_integraal.pdf;1;633007;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8490&mSelod=704645;TRUE;CAO_voor_uzk_16_9_2015_integraal.pdf;1;633008;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8489&mSelod=704645;TRUE;CAO_voor_uzk_29_6_2015_integraal.pdf;1;633009;
633;https://www.uitvoeringarbeidsvoorwaardenwetgeving.nl/mozard/!suite92.scherm1007?mObj=8485&mSelod=704645;TRUE;CAO_voor_Uitzendkrachten_maart_2013_integraal.pdf;1;633010;
